subject_id,type,block,task,audiofile,success,state,flag,comment
64,Model,1,LegatoDesc,S64_click_02_segment_8.wav,false,ok,criterio,el gesto esta pero parece un overtone
64,Model,1,NonlegatoAsc,S64_click_02_segment_2.wav,false,ok,dudoso,
64,Model,1,NonlegatoDesc,S64_click_02_segment_3.wav,true,ok,dudoso,
64,Model,1,Overtone,S64_click_02_segment_10.wav,true,ok,,
64,Model,2,LegatoAsc,S64_click_04_segment_10.wav,false,ok,criterio,
64,Model,2,LegatoDesc,S64_click_04_segment_6.wav,true,ok,criterio,el problema esta en el ataque
64,Model,2,NonlegatoAsc,S64_click_04_segment_7.wav,true,ok,,
64,Model,2,NonlegatoDesc,S64_click_04_segment_8.wav,true,ok,,
64,Model,2,Overtone,S64_click_04_segment_9.wav,true,ok,,dudoso
70,Model,1,LegatoAsc,S70_click_02_segment_12.wav,false,ok,,
70,Model,1,LegatoDesc,S70_click_02_segment_14.wav,true,ok,,
70,Model,1,NonlegatoAsc,S70_click_02_segment_6.wav,false,ok,dudoso,
70,Model,1,NonlegatoDesc,S70_click_02_segment_7.wav,true,ok,,
70,Model,1,Overtone,S70_click_02_segment_19.wav,true,ok,,
70,Model,2,LegatoAsc,S70_click_04_segment_9.wav,false,ok,,
70,Model,2,LegatoDesc,S70_click_04_segment_11.wav,false,ok,criterio,no se registro la fuerza
70,Model,2,NonlegatoAsc,S70_click_04_segment_5.wav,false,ok,criterio,no se registro la fuerza el gesto esta bien
70,Model,2,NonlegatoDesc,S70_click_04_segment_6.wav,false,ok,sensores,no se registro la fuerza
70,Model,2,Overtone,S70_click_04_segment_13.wav,false,ok,,no se registro la fuerza
80,Model,1,LegatoAsc,S80_click_01_segment_18.wav,false,ok,,
80,Model,1,LegatoDesc,S80_click_01_segment_6.wav,true,ok,,
80,Model,1,NonlegatoAsc,S80_click_01_segment_7.wav,true,ok,,
80,Model,1,NonlegatoDesc,S80_click_01_segment_9.wav,true,ok,,
80,Model,1,Overtone,S80_click_01_segment_13.wav,true,ok,,
80,Model,2,LegatoAsc,S80_click_03_segment_13.wav,true,ok,,
80,Model,2,LegatoDesc,S80_click_03_segment_7.wav,true,ok,,
80,Model,2,NonlegatoAsc,S80_click_03_segment_2.wav,true,ok,,
80,Model,2,NonlegatoDesc,S80_click_03_segment_4.wav,false,ok,dudoso,
80,Model,2,Overtone,S80_click_03_segment_9.wav,false,ok,,no se registro la fuerza
83,Model,1,LegatoAsc,S83_click_01_segment_18.wav,true,ok,,
83,Model,1,LegatoDesc,S83_click_01_segment_6.wav,false,ok,criterio,sensor de fuerza cae a cero al final
83,Model,1,NonlegatoAsc,S83_click_01_segment_9.wav,true,ok,criterio,suena la multiestabilidad en el ataque pero esta bien
83,Model,1,NonlegatoDesc,S83_click_01_segment_10.wav,false,ok,dudoso,  
83,Model,1,Overtone,S83_click_01_segment_16.wav,true,ok,,
83,Model,2,LegatoAsc,S83_click_03_segment_12.wav,true,ok,,
83,Model,2,LegatoDesc,S83_click_03_segment_5.wav,true,ok,,
83,Model,2,NonlegatoAsc,S83_click_03_segment_6.wav,true,ok,criterio,suena la multiestabilidad en el ataque pero esta bien
83,Model,2,NonlegatoDesc,S83_click_03_segment_8.wav,true,ok,,
83,Model,2,Overtone,S83_click_03_segment_10.wav,true,ok,,
88,Model,1,LegatoAsc,S88_click_02_segment_10.wav,false,ok,criterio,no hay presion de soplado. el grafico de los modos debe ser el ruido mínimo que hace el modelo cuando solo se modifica Zeta
88,Model,1,LegatoDesc,S88_click_02_segment_7.wav,true,ok,,
88,Model,1,NonlegatoAsc,S88_click_02_segment_3.wav,true,ok,,
88,Model,1,NonlegatoDesc,S88_click_02_segment_4.wav,true,ok,,
88,Model,1,Overtone,S88_click_02_segment_11.wav,true,ok,,
88,Model,2,LegatoAsc,S88_click_04_segment_6.wav,false,ok,,
88,Model,2,LegatoDesc,S88_click_04_segment_9.wav,true,ok,,
88,Model,2,NonlegatoAsc,S88_click_04_segment_2.wav,true,ok,,
88,Model,2,NonlegatoDesc,S88_click_04_segment_4.wav,true,ok,,
88,Model,2,Overtone,S88_click_04_segment_10.wav,true,ok,,
90,Model,1,LegatoAsc,S90_click_01_segment_14.wav,false,ok,,
90,Model,1,LegatoDesc,S90_click_01_segment_6.wav,true,ok,,
90,Model,1,NonlegatoAsc,S90_click_01_segment_7.wav,false,ok,sensores,fuerza cae a cero en mitad de la segunda nota
90,Model,1,NonlegatoDesc,S90_click_01_segment_8.wav,true,ok,,
90,Model,1,Overtone,S90_click_01_segment_12.wav,false,ok,,f?
90,Model,2,LegatoAsc,S90_click_03_segment_5.wav,false,ok,audiofile,es un legatodesc exitoso
90,Model,2,LegatoDesc,S90_click_03_segment_7.wav,true,ok,criterio,no se registro la fuerza el gesto esta bien
90,Model,2,NonlegatoAsc,S90_click_03_segment_2.wav,true,ok,,
90,Model,2,NonlegatoDesc,S90_click_03_segment_3.wav,true,ok,,
90,Model,2,Overtone,S90_click_03_segment_9.wav,true,ok,,
